match_id,team1,team2,venue,city,date
562444,Sri Lanka,Pakistan,Galle International Stadium,,2012-06-22
562445,Sri Lanka,Pakistan,Sinhalese Sports Club Ground,Colombo,2012-06-30
562446,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,,2012-07-08
565806,India,England,"Sardar Patel Stadium, Motera",Ahmedabad,2012-11-15
565807,India,England,Wankhede Stadium,Mumbai,2012-11-23
565808,India,England,Eden Gardens,Kolkata,2012-12-05
565809,India,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,2012-12-13
565817,India,New Zealand,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-08-23
565818,India,New Zealand,M Chinnaswamy Stadium,Bangalore,2012-08-31
566921,England,New Zealand,Lord's,London,2013-05-16
566922,England,New Zealand,Headingley,Leeds,2013-05-24
566932,England,Australia,Trent Bridge,Nottingham,2013-07-10
566933,England,Australia,Lord's,London,2013-07-18
566934,England,Australia,Old Trafford,Manchester,2013-08-01
566935,England,Australia,Riverside Ground,Chester-le-Street,2013-08-09
566936,England,Australia,Kennington Oval,London,2013-08-21
567356,South Africa,New Zealand,Newlands,Cape Town,2013-01-02
567357,South Africa,New Zealand,St George's Park,Port Elizabeth,2013-01-11
567363,South Africa,Pakistan,New Wanderers Stadium,Johannesburg,2013-02-01
567364,South Africa,Pakistan,Newlands,Cape Town,2013-02-14
567365,South Africa,Pakistan,SuperSport Park,Centurion,2013-02-22
569243,New Zealand,England,University Oval,Dunedin,2013-03-06
569244,New Zealand,England,Basin Reserve,Wellington,2013-03-14
569245,New Zealand,England,Eden Park,Auckland,2013-03-22
573007,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2012-11-09
573008,Australia,South Africa,Adelaide Oval,,2012-11-22
573009,Australia,South Africa,Western Australia Cricket Association Ground,Perth,2012-11-30
573011,Australia,Sri Lanka,Bellerive Oval,Hobart,2012-12-14
573012,Australia,Sri Lanka,Melbourne Cricket Ground,,2012-12-26
573013,Australia,Sri Lanka,Sydney Cricket Ground,,2013-01-03
582192,Sri Lanka,New Zealand,Galle International Stadium,,2012-11-17
582193,Sri Lanka,New Zealand,P Sara Oval,Colombo,2012-11-25
587469,Bangladesh,West Indies,Shere Bangla National Stadium,Mirpur,2012-11-13
587470,Bangladesh,West Indies,Sheikh Abu Naser Stadium,Khulna,2012-11-21
592397,Australia,England,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2013-11-21
592398,Australia,England,Adelaide Oval,,2013-12-05
592399,Australia,England,Western Australia Cricket Association Ground,Perth,2013-12-13
592400,Australia,England,Melbourne Cricket Ground,,2013-12-26
592401,Australia,England,Sydney Cricket Ground,,2014-01-03
593722,England,Australia,Sir Paul Getty's Ground,Wormsley,2013-08-11
593988,West Indies,Zimbabwe,"Kensington Oval, Bridgetown",Barbados,2013-03-12
593989,West Indies,Zimbabwe,"Windsor Park, Roseau",Dominica,2013-03-20
598812,India,Australia,"MA Chidambaram Stadium, Chepauk",Chennai,2013-02-22
598813,India,Australia,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-03-02
598814,India,Australia,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-03-14
598815,India,Australia,Feroz Shah Kotla,Delhi,2013-03-22
602472,Sri Lanka,Bangladesh,Galle International Stadium,,2013-03-08
602473,Sri Lanka,Bangladesh,R Premadasa Stadium,Colombo,2013-03-16
623576,Zimbabwe,Bangladesh,Harare Sports Club,,2013-04-17
623577,Zimbabwe,Bangladesh,Harare Sports Club,,2013-04-25
63963,England,India,"M Chinnaswamy Stadium, Bangalore",Bengaluru,2001-12-19
64012,Australia,England,Melbourne Cricket Ground,Melbourne,2002-12-26
64013,England,Australia,Sydney Cricket Ground,Sydney,2003-01-02
64022,South Africa,Pakistan,"Kingsmead, Durban",Durban,2002-12-26
64023,South Africa,Pakistan,"Newlands, Cape Town",Cape Town,2003-01-02
64027,Australia,West Indies,"Antigua Recreation Ground, St John's, Antigua",St John's,2003-05-09
64036,Bangladesh,Australia,"Marrara Cricket Ground, Darwin",Darwin,2003-07-18
64038,South Africa,England,"Edgbaston, Birmingham",Birmingham,2003-07-24
64040,England,South Africa,"Trent Bridge, Nottingham",Nottingham,2003-08-14
64041,South Africa,England,"Headingley, Leeds",Leeds,2003-08-21
64042,South Africa,England,"Kennington Oval, London",London,2003-09-04
64045,Bangladesh,Pakistan,Multan Cricket Stadium,Multan,2003-09-03
64047,New Zealand,India,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Chandigarh,2003-10-16
64048,Australia,Zimbabwe,"Western Australia Cricket Association Ground, Perth",Perth,2003-10-09
64049,Zimbabwe,Australia,Sydney Cricket Ground,Sydney,2003-10-17
64050,South Africa,Pakistan,"Gaddafi Stadium, Lahore",Lahore,2003-10-17
64051,South Africa,Pakistan,"Iqbal Stadium, Faisalabad",Faisalabad,2003-10-24
64052,Bangladesh,England,"Bangabandhu National Stadium, Dhaka",Dhaka,2003-10-21
64053,England,Bangladesh,"MA Aziz Stadium, Chittagong",Chattogram,2003-10-29
64055,West Indies,Zimbabwe,"Queens Sports Club, Bulawayo",Bulawayo,2003-11-12
64058,England,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Colombo,2003-12-18
64059,Australia,India,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2003-12-04
64062,India,Australia,Sydney Cricket Ground,Sydney,2004-01-02
64063,South Africa,West Indies,"New Wanderers Stadium, Johannesburg",Johannesburg,2003-12-12
64071,Australia,Sri Lanka,Galle International Stadium,Galle,2004-03-08
64075,South Africa,New Zealand,Eden Park,Auckland,2004-03-18
64076,New Zealand,South Africa,"Basin Reserve, Wellington",Wellington,2004-03-26
64080,West Indies,England,Antigua Recreation Ground,St John's,2004-04-10
64083,Pakistan,India,Rawalpindi Cricket Stadium,Rawalpindi,2004-04-13
64094,England,West Indies,Edgbaston,Birmingham,2004-07-29
64096,England,West Indies,Kennington Oval,London,2004-08-19
64100,Australia,India,MA Chidambaram Stadium,Chennai,2004-10-14
64102,India,Australia,Wankhede Stadium,Mumbai,2004-11-03
64104,New Zealand,Bangladesh,MA Aziz Stadium,Chattogram,2004-10-26
64107,New Zealand,Australia,Brisbane Cricket Ground,Brisbane,2004-11-18
64108,Australia,New Zealand,Adelaide Oval,Adelaide,2004-11-26
64109,South Africa,India,Green Park,Kanpur,2004-11-20
64110,South Africa,India,Eden Gardens,Kolkata,2004-11-28
64111,Bangladesh,India,Bangabandhu National Stadium,Dhaka,2004-12-10
64113,Australia,Pakistan,W.A.C.A. Ground,Perth,2004-12-16
64118,South Africa,England,Newlands,Cape Town,2005-01-02
64123,Zimbabwe,South Africa,Newlands,Cape Town,2005-03-04
64124,Zimbabwe,South Africa,SuperSport Park,Centurion,2005-03-11
